Generation 0 - Individual Bot Performance
==================================================
Format: BotID | Profit% | WinRate | Trades | FinalBalance | Fitness | Sharpe | MaxDD | SurvivedGens
   126 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
   127 |  -90.30% |  19.25% |   7277 | $      9.70 | -137.87 |  -0.90 | 100.07% |   0
   128 |   +9.88% |  37.11% |    547 | $    109.88 |   31.17 |   0.72 | 13.78% |   0
   129 |  -22.01% |  34.50% |   2910 | $     77.99 |  -33.66 |  -0.75 | 29.30% |   0
   130 |  -90.01% |  24.30% |   8126 | $      9.99 | -135.09 |  -1.00 | 90.20% |   0
   131 | -100.00% |  36.48% |   4893 | $      0.00 | -178.60 |  -0.62 | 161.78% |   0
   132 |  -33.14% |  38.46% |   3253 | $     66.86 |  -50.34 |  -0.73 | 45.26% |   0
   133 |   -2.51% |  45.64% |    149 | $     97.49 |   -4.16 |  -0.19 | 12.88% |   0
   134 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
   135 |   +0.32% |  27.21% |   1176 | $    100.32 |   10.14 |   0.06 |  4.10% |   0
   136 |  -36.49% |  19.41% |   9293 | $     63.51 |  -52.17 |  -0.83 | 43.92% |   0
   137 |   -2.82% |  41.67% |     12 | $     97.18 |   20.00 |  -0.56 |  5.05% |   0
   138 |   -0.65% |  54.68% |    139 | $     99.35 |    8.35 |  -0.05 | 13.15% |   0
   139 |  -26.17% |  20.20% |   2460 | $     73.83 |  -87.44 |  -0.16 | 160.11% |   0
   140 |  -30.80% |  17.96% |   2533 | $     69.20 |  -43.46 |  -0.34 | 90.06% |   0
   141 |  -90.02% |  19.16% |  11677 | $      9.98 | 9853.75 |  -1.00 | 90.12% |   0
   142 |   -0.39% |  38.79% |    495 | $     99.61 |  167.13 |  -0.08 |  3.30% |   0
   143 |  -58.44% |  15.33% |  10487 | $     41.56 |  -85.81 |  -0.84 | 69.48% |   0
   144 |  -33.69% |  32.80% |   4174 | $     66.31 |  -41.93 |  -0.57 | 59.27% |   0
   145 |  -85.21% |  22.25% |  22292 | $     14.79 | -118.44 |  -1.00 | 85.40% |   0
   146 |   +0.00% | 100.00% |      1 | $    100.00 |   22.29 |   0.00 |  5.42% |   0
   147 |  -64.38% |  18.17% |  11319 | $     35.62 |  -94.63 |  -0.89 | 72.57% |   0
   148 |  -22.37% |  27.00% |   6445 | $     77.63 |  -37.43 |  -0.62 | 35.80% |   0
   149 |  -10.28% |  26.23% |   2764 | $     89.72 |  -13.57 |  -0.77 | 13.31% |   0
   150 |  -55.37% |  21.17% |   3977 | $     44.63 |  -92.94 |  -0.46 | 120.08% |   0
   151 |  -57.28% |  42.24% |    303 | $     42.72 |  119.64 |  -0.89 | 64.32% |   0
   152 |   -1.73% |   5.88% |     17 | $     98.27 | 9983.58 |  -0.35 |  1.73% |   0
   153 |   -0.37% |  42.86% |     14 | $     99.63 |  -24.58 |  -0.00 | 80.20% |   0
   154 |  -90.00% |  27.28% |   7303 | $     10.00 | -134.63 |  -1.00 | 90.16% |   0
   155 |   +0.00% | 100.00% |      1 | $    100.00 |   24.38 |   0.00 |  1.24% |   0
   156 |   -5.39% |   0.00% |     14 | $     94.61 |  -14.12 |  -0.72 |  7.45% |   0
   157 |  +17.13% |  52.38% |     21 | $    117.13 |   48.98 |   1.05 | 16.30% |   0
   158 |  -14.79% |  37.95% |   2190 | $     85.21 |  -51.80 |  -0.18 | 83.49% |   0
   159 |  -18.40% |  26.05% |   4399 | $     81.60 |  -26.11 |  -0.83 | 22.23% |   0
   160 |  -27.64% |  21.45% |   6368 | $     72.36 |  -31.66 |  -0.74 | 37.19% |   0
   161 |  -87.23% |  18.04% |   8981 | $     12.77 | 9854.24 |  -0.93 | 94.28% |   0
   162 |  -77.50% |  13.55% |   5741 | $     22.50 | 1560.40 |  -0.86 | 90.19% |   0
   163 | -100.00% |  38.45% |   2658 | $      0.00 | -166.92 |  -0.70 | 141.97% |   0
   164 |   +7.08% |  63.02% |    192 | $    107.08 |    4.59 |   0.35 | 20.19% |   0
   165 |  -20.66% |  41.57% |   2177 | $     79.34 |  -74.12 |  -0.18 | 115.59% |   0
   166 |   -1.50% |  35.92% |    245 | $     98.50 |  223.01 |  -0.11 | 13.72% |   0
   167 |  -16.91% |  27.85% |   3612 | $     83.09 |  -17.57 |  -0.86 | 19.60% |   0
   168 |   -0.14% |  18.18% |     11 | $     99.86 | 9985.17 |  -0.02 |  6.63% |   0
   169 |   -0.23% |  26.15% |    608 | $     99.77 |   91.76 |  -0.01 | 17.83% |   0
   170 |  -19.64% |  26.07% |   2282 | $     80.36 |  -58.64 |  -0.22 | 89.57% |   0
   171 |  -72.49% |  58.33% |     48 | $     27.51 |  -88.07 |  -0.81 | 89.77% |   0
   172 |  -12.66% |  25.00% |      4 | $     87.34 |  -18.30 |  -1.12 | 11.27% |   0
