bar,open,high,low,close,volume,gpu,cpu,diff
252,85896.6,85930.0,85835.3,85912.9,4643.0,-44.640625,-44.640625,0.0
253,85912.0,85912.0,85813.0,85827.0,2945.0,-43.953125,-43.953125,0.0
254,85829.2,85829.2,85720.1,85774.1,4394.0,-47.1328125,-47.1328125,0.0
255,85783.3,85943.9,85783.3,85942.9,5970.0,-35.625,-35.625,0.0
256,85925.4,85974.4,85701.9,85718.3,10857.0,-44.109375,-44.109375,0.0
257,85718.3,85718.7,85533.6,85565.1,10773.0,-62.484375,-62.484375,0.0
258,85565.1,85646.5,85544.6,85624.6,4371.0,-71.421875,-71.421875,0.0
259,85624.7,85642.1,85466.0,85526.5,10898.0,-85.4375,-85.4375,0.0
260,85510.1,85640.6,85480.2,85621.2,6778.0,-87.890625,-87.890625,0.0
261,85621.2,85773.2,85621.2,85727.2,7407.0,-80.3515625,-80.3515625,0.0
262,85729.2,85785.5,85703.8,85785.5,9769.0,-68.875,-68.875,0.0
263,85785.6,85804.4,85650.4,85658.2,8415.0,-69.2578125,-69.2578125,0.0
264,85657.3,85657.3,85495.8,85533.1,4775.0,-78.75,-78.75,0.0
265,85534.1,85579.5,85432.9,85462.1,9237.0,-90.953125,-90.953125,0.0
266,85469.8,85567.3,85445.9,85535.4,10767.0,-93.625,-93.625,0.0
267,85533.0,85579.6,85487.1,85487.2,2838.0,-98.5,-98.5,0.0
268,85481.1,85625.0,85474.8,85612.1,6635.0,-91.234375,-91.234375,0.0
269,85604.5,85711.2,85604.5,85687.9,6297.0,-78.453125,-78.453125,0.0
270,85687.5,85792.8,85609.7,85792.8,6186.0,-59.171875,-59.171875,0.0
271,85800.0,85853.5,85674.6,85701.6,7363.0,-50.671875,-50.671875,0.0
272,85704.4,85796.4,85675.8,85759.0,4660.0,-38.859375,-38.859375,0.0
273,85759.1,85772.3,85654.9,85654.9,4528.0,-37.4609375,-37.4609375,0.0
274,85663.4,85663.4,85579.3,85613.0,4202.0,-39.2890625,-39.2890625,0.0
275,85617.9,85650.0,85577.4,85630.5,2748.0,-38.8671875,-38.8671875,0.0
276,85642.8,85944.7,85642.2,85944.6,6701.0,-13.0390625,-13.0390625,0.0
277,85933.7,85994.8,85778.8,85800.3,9326.0,-4.171875,-4.171875,0.0
278,85794.2,85898.8,85778.1,85867.2,8023.0,8.1640625,8.1640625,0.0
279,85855.5,85914.1,85800.5,85871.9,6588.0,18.109375,18.109375,0.0
280,85866.2,86031.3,85852.7,85988.0,11707.0,34.953125,34.953125,0.0
281,85988.0,86090.0,85977.8,86068.3,5521.0,54.1640625,54.1640625,0.0
282,86062.7,86078.8,86009.1,86047.9,4429.0,66.96875,66.96875,0.0
283,86058.4,86129.3,86037.8,86071.8,4974.0,78.140625,78.140625,0.0
284,86067.5,86108.6,86045.0,86058.0,3915.0,84.90625,84.90625,0.0
285,86058.0,86125.1,86053.1,86063.0,4532.0,89.6328125,89.6328125,0.0
286,86062.2,86062.2,85998.7,85998.7,2655.0,87.1875,87.1875,0.0
287,85999.1,86071.6,85999.0,86045.6,4464.0,88.0234375,88.0234375,0.0
288,86053.5,86057.0,85921.6,85951.1,5981.0,80.1328125,80.1328125,0.0
289,85957.7,85994.0,85936.4,85974.5,3532.0,74.90625,74.90625,0.0
290,85967.0,85997.2,85936.1,85997.2,6763.0,71.765625,71.765625,0.0
291,85997.2,86001.5,85941.1,85958.6,3057.0,65.40625,65.40625,0.0
292,85971.0,86022.3,85971.0,85995.9,4989.0,62.65625,62.65625,0.0
293,85983.3,85996.5,85935.9,85962.2,5489.0,57.1015625,57.1015625,0.0
294,85966.3,85986.7,85891.4,85922.4,8574.0,48.921875,48.921875,0.0
295,85918.2,85984.1,85918.2,85975.6,6319.0,46.203125,46.203125,0.0
296,85962.7,85986.5,85945.6,85961.5,4096.0,42.421875,42.421875,0.0
297,85962.6,86028.1,85961.3,86020.9,4533.0,43.7109375,43.7109375,0.0
298,86019.2,86020.8,85968.5,85968.5,2496.0,40.046875,40.046875,0.0
299,85964.2,85964.2,85817.3,85832.3,3535.0,25.8515625,25.8515625,0.0
300,85817.3,85865.2,85798.6,85861.3,10066.0,16.75,16.75,0.0
301,85863.3,85863.3,85794.8,85802.0,9386.0,4.6953125,4.6953125,0.0
302,85800.1,85864.7,85765.8,85810.0,5590.0,-4.1640625,-4.1640625,0.0
303,85810.1,85859.5,85810.1,85828.0,3362.0,-9.6171875,-9.6171875,0.0
304,85822.3,85860.8,85822.1,85831.6,5387.0,-13.4921875,-13.4921875,0.0
305,85822.8,85888.9,85697.6,85697.6,6473.0,-27.0703125,-27.0703125,0.0
306,85695.3,85766.4,85656.3,85766.1,10213.0,-31.9296875,-31.9296875,0.0
307,85766.5,85852.0,85671.8,85693.6,3404.0,-41.15625,-41.15625,0.0
308,85702.2,85723.8,85620.9,85622.9,5585.0,-53.5546875,-53.5546875,0.0
309,85644.7,85647.0,85622.9,85623.0,3111.0,-62.65625,-62.65625,0.0
310,85631.0,85665.0,85631.0,85636.9,4084.0,-67.96875,-67.96875,0.0
311,85636.1,85707.5,85636.1,85703.2,4418.0,-66.0625,-66.0625,0.0
312,85707.8,85771.7,85707.8,85711.1,2704.0,-63.1875,-63.1875,0.0
313,85711.1,85769.9,85687.0,85752.4,4256.0,-56.921875,-56.921875,0.0
314,85748.2,85823.4,85698.3,85698.3,4213.0,-55.6796875,-55.6796875,0.0
315,85698.2,85706.7,85631.2,85631.2,4632.0,-59.421875,-59.421875,0.0
