bar,open,high,low,close,volume,gpu_value,cpu_value,diff
729,83295.6,83351.2,83155.6,83228.5,9452.0,-235.0,-321.5078,86.50781
730,83236.9,83337.0,83236.9,83250.0,7117.0,-177.5,88.703125,266.20312
731,83241.7,83241.7,83053.5,83127.0,41546.0,-102.203125,-144.5,42.296875
732,83126.1,83126.1,82951.0,82951.0,14525.0,24.601562,-53.0,77.60156
733,82949.5,83037.2,82932.4,83012.9,5621.0,-285.70312,237.89844,523.60156
734,83002.0,83118.3,82996.0,83095.3,6014.0,43.40625,20.5,22.90625
735,83082.7,83120.9,83034.1,83045.2,4113.0,-102.80469,-132.49219,29.6875
736,83051.4,83088.2,83015.6,83035.2,3492.0,-1063.6016,40.09375,1103.6953
737,83032.1,83187.9,83032.1,83044.6,6448.0,216.00781,19.398438,196.60938
738,83039.7,83053.0,82948.6,82996.0,4963.0,922.0,-58.0,980.0
739,82990.0,82990.0,82847.1,82879.6,13056.0,1219.0938,-67.796875,1286.8906
740,82887.9,83055.4,82887.9,83040.6,11412.0,136.0,277.39844,141.39844
741,83040.5,83168.9,83027.1,83142.4,4509.0,333.90625,-59.203125,393.10938
742,83142.7,83160.0,82995.9,83012.6,5393.0,446.0,-231.59375,677.59375
743,83009.1,83240.3,82995.3,83159.1,11862.0,48.296875,276.29688,228.0
744,83159.0,83159.8,83064.3,83065.2,4129.0,6.203125,-240.39844,246.60156
745,83073.6,83160.1,83064.0,83128.6,4387.0,323.29688,157.29688,166.0
746,83128.5,83128.5,83037.6,83053.0,2391.0,1258.2031,-139.0,1397.2031
747,83053.0,83063.7,82969.0,82987.2,1869.0,574.7969,9.8046875,564.9922
748,82988.2,83043.2,82978.0,82978.0,2917.0,-1078.6016,56.59375,1135.1953
749,82974.1,82974.1,82924.4,82924.4,3108.0,-1383.3984,-44.398438,1339.0
750,82924.5,82950.7,82903.5,82903.5,3799.0,-177.29688,32.703125,210.0
751,82904.4,82943.6,82899.0,82926.2,7938.0,134.29688,43.601562,90.69531
752,82926.2,83079.2,82926.2,83079.2,36803.0,-97.39844,130.29688,227.69531
753,83080.0,83114.7,82959.2,82959.2,4886.0,284.89844,-273.0,557.89844
754,82959.1,82959.1,82793.4,82799.5,8111.0,-122.0,-39.703125,82.296875
755,82796.0,82827.2,82726.5,82772.8,8515.0,-219.19531,133.0,352.1953
756,82767.3,82802.8,82747.5,82768.1,6283.0,-414.8047,22.007812,436.8125
757,82768.0,82775.3,82636.8,82680.8,6586.0,-375.5,-82.609375,292.89062
758,82680.8,82707.4,82616.9,82638.7,6030.0,220.60156,45.210938,175.39062
759,82638.6,82711.8,82618.4,82618.4,6202.0,101.89844,21.789062,80.109375
760,82618.4,82695.4,82500.1,82521.2,10768.0,178.10156,-76.890625,254.99219
761,82501.0,82521.3,82389.9,82470.1,18509.0,-719.10156,46.09375,765.1953
762,82469.3,82485.9,82382.7,82435.8,12156.0,186.19531,16.796875,169.39844
763,82432.1,82530.0,82431.9,82509.6,7552.0,660.90625,108.109375,552.7969
764,82509.9,82552.0,82480.8,82524.7,7396.0,88.69531,-58.703125,147.39844
765,82510.0,82528.1,82438.2,82443.3,5419.0,-506.79688,-96.50781,410.28906
766,82446.4,82479.7,82381.1,82419.4,2903.0,1065.5,57.507812,1007.9922
767,82418.7,82448.0,82284.2,82313.2,6078.0,-151.0,-82.296875,68.703125
768,82317.0,82381.8,82257.2,82262.7,8322.0,-549.7031,55.695312,605.39844
769,82279.4,82417.8,82229.4,82300.1,9838.0,215.30469,87.89844,127.40625
770,82300.1,82375.4,82229.0,82355.8,14190.0,-339.90625,18.296875,358.20312
771,82355.8,82385.9,82268.4,82284.7,9506.0,37.5,-126.78906,164.28906
772,82268.2,82405.4,82268.2,82358.9,9579.0,-486.78906,145.28906,632.0781
773,82358.0,82375.9,82200.1,82281.1,6470.0,-975.40625,-151.99219,823.41406
774,82286.5,82316.1,82221.9,82256.0,18679.0,-178.10156,52.695312,230.79688
775,82272.4,82360.0,82272.4,82308.6,4366.0,114.89844,77.703125,37.195312
776,82307.5,82308.5,82208.6,82218.6,9752.0,-1101.8984,-142.60156,959.2969
777,82217.7,82360.9,82217.7,82360.9,9148.0,300.79688,232.29688,68.5
778,82341.3,82399.0,82309.4,82309.4,4196.0,320.3047,-193.79688,514.10156
779,82309.4,82353.7,82286.1,82317.2,4291.0,87.10156,59.304688,27.796875
780,82313.1,82372.3,82294.0,82306.6,4651.0,184.20312,-18.40625,202.60938
781,82306.6,82457.7,82278.2,82278.2,9994.0,62.398438,-17.796875,80.19531
782,82267.6,82387.4,82256.5,82311.2,9736.0,97.69531,61.398438,36.296875
783,82316.4,82401.0,82213.3,82361.6,31401.0,114.80469,17.398438,97.40625
784,82353.3,82353.3,82087.2,82207.2,17951.0,388.60156,-204.79688,593.39844
785,82211.2,82229.2,82094.1,82094.1,10273.0,627.6953,41.296875,586.39844
786,82094.2,82172.1,82050.7,82089.7,19987.0,290.60156,108.703125,181.89844
787,82089.6,82200.0,82055.5,82200.0,4604.0,261.5,114.69531,146.80469
788,82200.7,82200.7,81943.8,81995.4,16179.0,188.5,-314.89844,503.39844
789,82007.8,82099.5,81995.4,82057.6,9907.0,117.59375,266.8047,149.21094
790,82057.7,82081.7,81990.1,82015.7,17310.0,813.60156,-104.10156,917.7031
791,82013.2,82148.5,82008.1,82120.8,29622.0,356.10156,146.99219,209.10938
792,82124.4,82141.0,82045.5,82052.5,15856.0,18.101562,-173.39062,191.49219
793,82052.5,82270.8,82033.9,82270.7,11670.0,631.2969,286.5,344.79688
794,82270.7,82389.6,82160.5,82310.0,34207.0,-457.60156,-178.90625,278.6953
795,82309.9,82309.9,82090.1,82120.3,12909.0,-116.99219,-229.0,112.00781
796,82117.5,82181.5,81982.3,82010.3,9110.0,-24.007812,79.703125,103.71094
797,82010.4,82067.1,81956.0,82042.3,8570.0,-555.2969,142.0,697.2969
798,82038.6,82061.9,81913.8,81950.5,11482.0,448.3047,-123.796875,572.10156
799,81950.4,82032.4,81945.1,81985.9,7187.0,-458.20312,127.19531,585.39844
800,81973.8,82004.9,81846.1,81851.1,10167.0,-629.10156,-170.19531,458.90625
801,81851.3,81854.3,81416.3,81444.9,69414.0,-311.0,-271.40625,39.59375
802,81444.9,81613.8,81340.6,81551.5,39167.0,-331.89844,512.8047,844.7031
803,81548.4,81591.1,80831.4,81134.0,196906.0,-519.10156,-524.10156,5.0
804,81149.3,81160.4,80919.0,81101.0,45283.0,-370.79688,384.5,755.2969
805,81100.0,81444.4,81079.6,81328.8,30209.0,-672.0,260.79688,932.7969
806,81323.7,81323.7,81129.8,81140.6,36412.0,-163.29688,-415.9922,252.69531
807,81132.6,81159.4,80952.0,81011.6,32535.0,-128.10156,59.195312,187.29688
808,81011.6,81050.4,80705.1,80725.3,38780.0,-237.40625,-157.30469,80.10156
809,80723.8,80963.9,80627.5,80945.5,42398.0,720.3047,506.5078,213.79688
810,80957.6,81666.0,80957.6,81466.2,131612.0,182.10156,300.5,118.39844
811,81468.0,81877.6,81274.6,81711.1,61016.0,323.0,-275.8047,598.8047
812,81711.1,81889.9,81500.2,81605.4,33883.0,111.796875,-350.60156,462.39844
813,81581.0,81707.1,81442.1,81606.9,30371.0,225.80469,107.203125,118.60156
814,81602.9,81807.5,81594.8,81700.5,18544.0,727.59375,92.10156,635.4922
815,81704.5,81821.2,81510.1,81821.2,35648.0,405.79688,27.101562,378.6953
816,81825.1,82274.0,81710.7,82101.7,46923.0,138.40625,159.79688,21.390625
817,82087.6,82581.6,82027.5,82511.1,70274.0,219.5,128.89844,90.60156
818,82511.3,82866.1,82486.5,82768.0,63226.0,-92.5,-152.5,60.0
819,82767.9,82982.8,82628.3,82982.8,31887.0,-399.3047,-42.101562,357.20312
820,82982.7,82982.7,82657.5,82736.3,19758.0,-76.60156,-461.29688,384.6953
821,82745.5,82971.2,82693.7,82878.7,22928.0,-258.4922,388.90625,647.39844
822,82904.5,82908.6,82685.7,82750.9,12906.0,-25.90625,-270.21094,244.30469
823,82751.0,82887.6,82565.4,82874.2,24953.0,-36.796875,251.10938,287.90625
824,82874.1,83033.3,82795.5,83002.3,14212.0,-549.89844,4.7890625,554.6875
825,83010.6,83427.0,82994.9,83316.3,37958.0,19.0,185.90625,166.90625
826,83320.1,83419.2,83150.8,83164.4,16894.0,-142.60156,-465.89844,323.29688
827,83176.3,83300.0,83106.8,83270.4,9931.0,58.898438,257.89844,199.0
828,83252.6,83322.0,83008.6,83078.5,13767.0,61.601562,-297.89844,359.5
829,83083.3,83191.8,82976.6,83191.8,11528.0,-402.6953,305.1953,707.8906
830,83199.9,83528.1,83116.8,83499.9,25737.0,6.8984375,194.80469,187.90625
831,83493.1,83499.9,83386.6,83496.4,18219.0,-297.8047,-311.60156,13.796875
832,83496.4,83576.6,83367.6,83389.8,14373.0,39.101562,-103.10156,142.20312
833,83386.5,83583.2,83358.5,83565.7,5882.0,-286.10156,282.5078,568.6094
834,83564.7,83589.1,83495.9,83564.2,9029.0,250.0,-177.40625,427.40625
835,83564.2,83567.0,83333.5,83333.5,10150.0,570.8047,-229.20312,800.0078
836,83333.4,83355.8,83152.8,83179.1,17827.0,289.09375,76.30469,212.78906
837,83179.1,83306.3,83050.0,83302.2,11455.0,366.20312,277.5,88.703125
838,83311.7,83311.7,83137.3,83240.7,8036.0,-77.89844,-184.60156,106.703125
839,83228.0,83278.0,83165.3,83272.9,7659.0,471.39844,93.69531,377.70312
840,83268.7,83413.3,83182.0,83400.6,9926.0,-254.39844,95.50781,349.90625
841,83409.0,83420.5,83156.7,83156.7,9847.0,266.0,-371.60156,637.60156
842,83156.6,83458.2,83136.0,83378.3,9308.0,165.0,465.4922,300.4922
843,83365.8,83487.3,83233.6,83282.3,8245.0,32.398438,-317.59375,349.9922
844,83286.5,83299.6,83106.7,83237.1,12591.0,483.10156,50.804688,432.29688
845,83228.8,83428.0,83208.2,83400.3,11736.0,-300.20312,208.39062,508.59375
846,83400.4,83614.9,83355.6,83556.5,9782.0,-46.898438,-6.9921875,39.90625
847,83553.5,83566.5,83431.5,83466.6,5087.0,-317.89844,-246.10156,71.796875
848,83455.0,83696.9,83436.8,83671.7,14552.0,267.89844,295.0,27.101562
849,83660.6,83887.3,83660.6,83796.7,25035.0,-207.89844,-80.10156,127.796875
850,83810.9,83866.3,83527.8,83527.8,8582.0,139.39844,-393.90625,533.3047
851,83508.9,83671.5,83500.1,83644.1,7905.0,-231.5,385.21094,616.71094
852,83644.0,83704.1,83595.4,83648.1,8093.0,140.89844,-112.30469,253.20312
853,83648.2,83792.6,83612.6,83745.6,7432.0,32.398438,93.5,61.101562
854,83753.4,83836.6,83745.2,83810.6,14244.0,-536.09375,-32.5,503.59375
855,83810.6,83911.9,83801.6,83908.4,9001.0,-97.203125,32.796875,130.0
856,83909.4,83988.6,83880.9,83988.6,11285.0,-397.20312,-17.59375,379.60938
857,83988.5,84346.8,83980.2,84217.3,20381.0,-56.195312,148.49219,204.6875
858,84217.2,84217.2,84061.1,84092.6,8302.0,-633.10156,-353.39062,279.71094
859,84079.8,84182.5,83988.6,84143.9,7843.0,80.89844,175.99219,95.09375
860,84153.3,84185.7,83947.6,84021.0,8177.0,26.796875,-174.19531,200.99219
861,84016.8,84163.7,83968.7,84027.8,12205.0,99.80469,129.69531,29.890625
862,84021.4,84043.1,83807.6,83847.9,9911.0,-294.0,-186.69531,107.30469
863,83843.7,83856.9,83719.5,83753.7,9225.0,52.601562,85.703125,33.101562
864,83753.7,83776.9,83628.0,83628.0,8345.0,3801.3984,-31.507812,3832.9062
865,83627.2,83704.8,83567.2,83666.8,14747.0,-295.10156,164.5,459.60156
866,83673.5,83715.7,83608.1,83699.0,5977.0,268.10156,-6.59375,274.6953
867,83695.6,83719.0,83549.8,83549.8,3452.0,-152.40625,-181.40625,29.0
868,83555.8,83589.6,83380.5,83405.1,40093.0,276.60156,4.5078125,272.09375
869,83408.1,83495.8,83404.0,83440.7,9717.0,-154.79688,180.29688,335.09375
870,83428.2,83583.5,83428.2,83571.6,7534.0,-49.898438,95.296875,145.19531
871,83571.5,83598.2,83471.9,83564.6,6870.0,-313.60156,-137.89844,175.70312
872,83564.5,83603.3,83409.2,83445.4,6639.0,305.40625,-112.203125,417.60938
873,83436.3,83466.5,83282.1,83453.4,7506.0,-114.60156,127.203125,241.80469
874,83452.5,83527.9,83427.1,83512.6,5215.0,-3847.2031,51.203125,3898.4062
875,83516.7,83790.7,83504.2,83747.7,11180.0,116.0,175.89844,59.898438
876,83757.6,83895.3,83741.6,83858.9,10276.0,379.3047,-123.90625,503.21094
877,83860.0,83932.9,83826.0,83932.9,6560.0,246.29688,-37.195312,283.4922
878,83940.1,83984.9,83859.6,83950.7,11958.0,244.5,-56.195312,300.6953
879,83937.7,83937.7,83837.1,83860.8,7627.0,410.89844,-107.71094,518.6094
880,83860.7,83988.5,83829.5,83944.8,3462.0,-364.0,173.90625,537.90625
881,83937.9,84109.1,83936.9,84099.5,15827.0,581.1953,70.703125,510.4922
882,84097.6,84195.8,84085.7,84107.1,6837.0,-301.1953,-147.10156,154.09375
883,84141.4,84194.8,84112.1,84128.8,5869.0,452.60156,14.09375,438.5078
884,84128.8,84152.8,84085.4,84138.0,5619.0,45.0,-12.4921875,57.492188
885,84144.3,84282.8,84077.0,84253.4,11736.0,203.89844,106.19531,97.703125
886,84253.5,84346.9,84108.1,84123.6,12369.0,-325.5,-245.19531,80.30469
887,84123.6,84243.2,84105.0,84183.7,6456.0,-284.5,189.89844,474.39844
