BotID,Cycle,EntryPrice,ExitPrice,EntryBar,ExitBar,Leverage,PnL,Direction,ChunkID,OutOfCycle,Signature
1,4,26219.9004,25884.5,42458,42708,19.0,0.23,SHORT,0,0,42458:42708:SHORT:23
1,3,29176.9004,29074.8008,32431,32632,19.0,-0.08,LONG,0,0,32431:32632:LONG:-8
1,3,29212.0996,29074.8008,32432,32632,19.0,-0.1,LONG,0,0,32432:32632:LONG:-10
1,4,25884.5,25849.8008,42708,42718,19.0,-0.04,LONG,0,0,42708:42718:LONG:-4
1,0,29260.1992,29407.4004,2291,2429,19.0,-0.11,SHORT,0,0,2291:2429:SHORT:-11
1,0,29238.5996,29407.4004,2318,2429,19.0,-0.12,SHORT,0,0,2318:2429:SHORT:-12
1,4,25849.8008,25873.6992,42718,42750,19.0,-0.03,SHORT,0,0,42718:42750:SHORT:-3
1,4,25890.3008,25873.6992,42743,42750,19.0,-0.0,SHORT,0,0,42743:42750:SHORT:0
1,4,25873.6992,25903.4004,42750,42753,19.0,0.01,LONG,0,0,42750:42753:LONG:1
1,4,25903.4004,25901.3008,42753,42764,19.0,-0.01,SHORT,0,0,42753:42764:SHORT:-1
1,3,29074.8008,29012.5996,32632,32720,19.0,0.03,SHORT,0,0,32632:32720:SHORT:3
1,3,29055.1992,29012.5996,32697,32720,19.0,0.01,SHORT,0,0,32697:32720:SHORT:1
1,3,29012.5996,29054.0996,32720,32775,19.0,0.01,LONG,0,0,32720:32775:LONG:1
1,3,29011.4004,29054.0996,32721,32775,19.0,0.01,LONG,0,0,32721:32775:LONG:1
1,0,29407.4004,29248.6992,2429,2541,19.0,-0.12,LONG,0,0,2429:2541:LONG:-12
1,3,29054.0996,29067.6992,32775,32833,19.0,-0.02,SHORT,0,0,32775:32833:SHORT:-2
1,3,29090.0,29067.6992,32795,32833,19.0,0.0,SHORT,0,0,32795:32833:SHORT:0
1,3,29067.6992,29080.3008,32833,32839,19.0,-0.01,LONG,0,0,32833:32839:LONG:-1
1,3,29080.3008,29063.1992,32839,32857,19.0,-0.0,SHORT,0,0,32839:32857:SHORT:0
1,4,25901.3008,25875.5996,42764,42940,19.0,-0.03,LONG,0,0,42764:42940:LONG:-3
1,4,25870.5996,25875.5996,42806,42940,19.0,-0.01,LONG,0,0,42806:42940:LONG:-1
1,0,29248.6992,29342.9004,2541,2630,19.0,-0.08,SHORT,0,0,2541:2630:SHORT:-8
1,4,25875.5996,25872.5996,42940,42981,19.0,-0.01,SHORT,0,0,42940:42981:SHORT:-1
1,4,25847.6992,25872.5996,42975,42981,19.0,-0.03,SHORT,0,0,42975:42981:SHORT:-3
1,4,25872.5996,25827.0,42981,42988,19.0,-0.05,LONG,0,0,42981:42988:LONG:-5
1,4,25827.0,25799.1992,42988,42989,19.0,0.01,SHORT,0,0,42988:42989:SHORT:1
1,3,29063.1992,29083.8008,32857,32919,19.0,-0.0,LONG,0,0,32857:32919:LONG:0
1,3,29037.5,29083.8008,32879,32919,19.0,0.02,LONG,0,0,32879:32919:LONG:2
1,3,29083.8008,29057.0,32919,32931,19.0,0.0,SHORT,0,0,32919:32931:SHORT:0
1,3,29086.3008,29057.0,32924,32931,19.0,0.01,SHORT,0,0,32924:32931:SHORT:1
1,3,29057.0,29053.0996,32931,32935,19.0,-0.02,LONG,0,0,32931:32935:LONG:-2
1,3,29053.0996,29104.9004,32935,32950,19.0,-0.05,SHORT,0,0,32935:32950:SHORT:-5
1,3,29069.0996,29104.9004,32939,32950,19.0,-0.04,SHORT,0,0,32939:32950:SHORT:-4
1,1,26069.9004,25749.6992,12370,12794,19.0,0.22,SHORT,0,0,12370:12794:SHORT:22
1,1,26007.1992,25749.6992,12495,12794,19.0,0.17,SHORT,0,0,12495:12794:SHORT:17
1,2,27894.6992,27676.9004,22465,22875,19.0,-0.16,LONG,0,0,22465:22875:LONG:-16
1,2,27817.6992,27676.9004,22466,22875,19.0,-0.11,LONG,0,0,22466:22875:LONG:-11
1,3,29104.9004,29115.0,32950,32956,19.0,-0.01,LONG,0,0,32950:32956:LONG:-1
1,3,29092.5996,29115.0,32951,32956,19.0,0.0,LONG,0,0,32951:32956:LONG:0
1,4,25799.1992,25865.3008,42989,43037,19.0,0.03,LONG,0,0,42989:43037:LONG:3
1,3,29115.0,29097.5996,32956,32964,19.0,-0.0,SHORT,0,0,32956:32964:SHORT:0
1,3,29129.1992,29097.5996,32961,32964,19.0,0.01,SHORT,0,0,32961:32964:SHORT:1
1,2,27676.9004,27508.0996,22875,22919,19.0,0.1,SHORT,0,0,22875:22919:SHORT:10
1,1,25749.6992,25750.4004,12794,12841,19.0,-0.01,LONG,0,0,12794:12841:LONG:-1
1,1,25750.4004,25760.1992,12841,12849,19.0,-0.02,SHORT,0,0,12841:12849:SHORT:-2
1,2,27508.0996,27463.0,22919,22937,19.0,-0.04,LONG,0,0,22919:22937:LONG:-4
1,1,25760.1992,25748.5996,12849,12866,19.0,-0.02,LONG,0,0,12849:12866:LONG:-2
1,1,25748.5996,25706.8008,12866,12881,19.0,0.02,SHORT,0,0,12866:12881:SHORT:2
1,1,25706.8008,25756.0,12881,12898,19.0,0.02,LONG,0,0,12881:12898:LONG:2
1,4,25865.3008,25756.9004,43037,43173,19.0,0.07,SHORT,0,0,43037:43173:SHORT:7
1,2,27463.0,27391.5,22937,23026,19.0,0.04,SHORT,0,0,22937:23026:SHORT:4
1,2,27516.5,27391.5,22950,23026,19.0,0.07,SHORT,0,0,22950:23026:SHORT:7
1,4,25756.9004,26032.3008,43173,43206,19.0,0.19,LONG,0,0,43173:43206:LONG:19
1,4,25857.5996,26032.3008,43175,43206,19.0,0.11,LONG,0,0,43175:43206:LONG:11
1,0,29342.9004,29720.1973,2630,2947,19.0,0.23,LONG,0,0,2630:2947:LONG:23
1,0,28854.3008,29720.1973,2762,2947,19.0,0.56,LONG,0,0,2762:2947:LONG:56
1,3,29097.5996,29108.1992,32964,33231,19.0,-0.01,LONG,0,0,32964:33231:LONG:-1
1,3,29069.1992,29108.1992,32987,33231,19.0,0.01,LONG,0,0,32987:33231:LONG:1
1,3,29108.1992,29084.5,33231,33299,19.0,0.0,SHORT,0,0,33231:33299:SHORT:0
1,3,29141.5996,29084.5,33272,33299,19.0,0.02,SHORT,0,0,33272:33299:SHORT:2
1,0,29500.6992,29127.6992,3002,3160,19.0,0.23,SHORT,0,0,3002:3160:SHORT:23
1,0,29335.0996,29127.6992,3074,3160,19.0,0.12,SHORT,0,0,3074:3160:SHORT:12
1,0,29127.6992,29214.8008,3160,3196,19.0,0.04,LONG,0,0,3160:3196:LONG:4
1,3,29084.5,29165.6992,33299,33467,19.0,0.04,LONG,0,0,33299:33467:LONG:4
1,3,29117.3008,29165.6992,33361,33467,19.0,0.02,LONG,0,0,33361:33467:LONG:2
1,4,26032.3008,25261.0098,43206,43549,19.0,0.55,SHORT,0,0,43206:43549:SHORT:55
1,4,25739.4004,25261.0098,43231,43549,19.0,0.34,SHORT,0,0,43231:43549:SHORT:34
1,4,25308.6992,25718.9121,43549,43572,19.0,0.29,LONG,0,0,43549:43572:LONG:29
1,4,25435.9004,25718.9121,43550,43572,19.0,0.2,LONG,0,0,43550:43572:LONG:20
1,3,29165.6992,29304.0,33467,33501,19.0,-0.1,SHORT,0,0,33467:33501:SHORT:-10
1,3,29230.6992,29304.0,33487,33501,19.0,-0.06,SHORT,0,0,33487:33501:SHORT:-6
1,2,27391.5,26917.0996,23026,23431,19.0,-0.34,LONG,0,0,23026:23431:LONG:-34
1,2,27062.0,26917.0996,23215,23431,19.0,-0.12,LONG,0,0,23215:23431:LONG:-12
1,2,26917.0996,26741.0,23431,23472,19.0,0.11,SHORT,0,0,23431:23472:SHORT:11
1,2,26749.8008,26741.0,23465,23472,19.0,-0.01,SHORT,0,0,23465:23472:SHORT:-1
1,2,26741.0,26810.6992,23472,23512,19.0,0.04,LONG,0,0,23472:23512:LONG:4
1,2,26810.6992,26758.8008,23512,23513,19.0,0.02,SHORT,0,0,23512:23513:SHORT:2
1,0,29214.8008,29289.1992,3196,3368,19.0,-0.06,SHORT,0,0,3196:3368:SHORT:-6
